PrimaryAuthor,PrimaryCountry,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Year,PublicationTitle,PublicationType,TitleChapter,Class,FlashBehaviour,SpellingFlashBehaviour,CitationFlashBehaviour,BehaviourFlashBehaviour,MorphologyFlashBehaviour,FlashColour,SpellingFlashColour,CitationFlashColour,BehaviourFlashColour,MorphologyFlashColour,FlashColouration,SpellingFlashColouration,CitationFlashColouration,BehaviourFlashColouration,MorphologyFlashColouration,FlashDisplay,CitationFlashDisplay,BehaviourFlashDisplay,MorphologyFlashDisplay,FlashMark,CitationFlashMark,BehaviourFlashMark,MorphologyFlashMark,Other,OtherText,CitationOther,BehaviourOther,MorphologyOther,Definition,Definition1Text,CitationDefinition1,BehaviourMorphologyDefinition1,Definition2Text,CitationDefinition2,BehaviourMorphologyDefinition2,Description,Description1Text,CitationDescription1,BehaviourMorphologyDescription1,Description2Text,CitationDescription2,BehaviourMorphologyDescription2,,,,,,,,,,,,,,,,,,,
"Smith, E. S.",USA,,,,,,,,,,,,,1989,Masters Thesis,Thesis,"Foraging ecology of a neotropical folivore, Lamponius portoricensis rehn (Phasmatodea: Phasmatidae)",invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"Their fundamental survival strategy is crypsis, although they exhibit a variety of predator-avoidance mechanisms such as rocking movements, dropping from a plant followed by catalepsy or death feigning, displays with front limbs which often show aposematic (flash) coloration, rapid leg movements, and production of sounds.",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Smith, J.",UK,,,,,,,,,,,,,2007,"Glasgow, University of Glasgow",Journal,University of Glasgow Exploration Society Trinidad Expedition Report 2007,amphibians,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Smith, W. P.",USA,,,,,,,,,,,,,1991,The American Naturalist,Journal,Ontogeny and adaptiveness of tail-flagging behavior in white-tailed deer,mammals,1,US,Edmunds 1974,1,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Starr, C. K.",Trinidad and Tobago,,,,,,,,,,,,,1998,"Living World, Journal of the Trinidad and Tobago Field Naturalists' Club",Journal,Field observations of Tropidacris collaris (Orthoptera: Romaleidae),invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Steiner, A. L.",Canada,,,,,,,,,,,,,1981,Psyche,Journal,"Anti-predator strategies. II. Grasshoppers (Orthoptera, Acrididae) attacked by Prionyx parkeri and some Tachysphex wasps (Hymenoptera, Sphecinae and Larrinae): a descriptive study",invertebrates,1,US,"Edmunds 1974, p. 245",1,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,"wing-flashing, color flash",no,1,0,no,no,no,no,no,no,no,yes,This is a classical and common case of sudden startling (flash or deimatic behavior) followed by sudden disappearance into crypsis,"Edmunds 1974, p. 245",b,no,no,no,,,,,,,,,,,,,,,,,,,
"Stien, J.",Norway,,,,,,,,,,,,,2008,Masters Thesis,Thesis,"The role of the Hooded Crow (Corvus corone) in the nesting success of the Common Eider (Somateria mollissima) at two colonies in Troms county, Northern Norway",birds,0,,no,0,0,1,UK,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Stys, P.",Czech Republic,,,,,,,,,,,,,2003,Acta Universitatis Carolinae Biologica,Journal,"Ventral surface of forewings in Pentatomidae: Halyini (Heteroptera), an overlooked site of fulguration",invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,fulguration,no,1,0,yes,a display of striking (usually orange to red) by a threatened (usually palatable) animal either during its escape motion  and/ or normal movement,no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Suvak, M.",Slovakia,,,,,,,,,,,,,2015,Thaiszia Journal of Botany,Journal,Exotic butterflies and moths (Lepidoptera) in botanical gardens–potential for education and research,invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Tan, E. J.",Singapore,"Elgar, M. A.",,,,,,,,,,,,2021,Biology Open,Journal,Motion: Enhancing signals and concealing cues,Various,0,,no,0,0,0,,no,0,0,1,UK,Caro et al. (2020),1,0,1,no,1,0,0,no,0,0,0,no,no,0,0,yes,Where animals exhibit sudden conspicuous colouration to deter potential predators.,Caro et al. (2020),b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Thayer, C. W.",USA,,,,,,,,,,,,,1971,Journal of Molluscan Studies,Journal,Fish-like crypsis in swimming Monomyaria,invertebrates,0,,no,0,0,0,,no,0,0,1,US,Cott 1940,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes," the display of bright, distracting colors during the escape movement",Cott 1940,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Thigpen, C. F.",USA,,,,,,,,,,,,,2016,Masters Thesis,Thesis,Histomorphology of cutaneous glands associated with conspicuous coloration in selected Arkansas Anurans,amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,It has been assumed that these hidden patches evolved as flash coloration used to startle potential predators if cryptic frogs were detected,Noble 1931,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Toledo, L. F.",Brazil,,,,,,,,,,,,,2007,Thesis,Thesis,Colors and mimicry as defensive strategies of anurans,amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"fleeing may be accompanied with liquid cloacal discharge, distress calls, and flash colors",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Toledo, L. F.",Brazil,"Haddad, C. F. B.",,,,,,,,,,,,2009,International Journal of Zoology,Journal,Colors and some morphological traits as defensive mechanisms in anurans,amphibians,0,,no,0,0,0,,no,0,0,1,US,"I. Sazima and U. Caramaschi 1988, M. Martins 1989, R. Symula, R. Schulte, and K. Summers 2001",1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"A fleeing anuran may escape from predators by displaying a flash of aposematic color(s), generally followed by remaining motionless. This is known as flash color behavior. This coloration is only visible when the anuran is moving (generally while jumping), and concealed during resting posture",no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Trewick, S. A.",New Zealand,,,,,,,,,,,,,2001,Conservation genetics,Journal,"Identity of an endangered grasshopper (Acrididae: Brachaspis): taxonomy, molecules and conservation",invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,0,1,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Turner, G. S.",Australia,,,,,,,,,,,,,2017,Queensland Naturalist,Journal,A hypomelanistic Roth's tree frog Litoria Rothii from North Queensland,amphibians,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Turner, J. R. G.",UK,"Mallet, J. L. B.",,,,,,,,,,,,1996,"Philosophical Transactions of the Royal Society of London. B, Biological Sciences",Journal,Did forest islands drive the diversity of warningly coloured butterflies? Biotic drift and the shifting balance,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Umbers, K. D. L.",Australia,"De Bona, S.","White, T. E.","Lehtonen, J.","Mapps, J.","Endler, J. A.",,,,,,,,2017,Biology Letters,Journal,Deimatism: a neglected component of antipredator defence,na,0,,no,0,0,0,,no,0,0,1,US,Edmunds M. 1974,1,0,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Umeton, D.",Italy,,,"Rowe, C.",,,,,,,,,,2019,PhD Thesis,Thesis,Investigating how movement affects prey camouflage using an insect predator,invertebrates,0,,no,0,0,0,,no,0,0,1,US,Cott 1940; Edmunds 2005,1,0,0,no,0,0,0,no,0,0,0,,no,0,0,yes,"the idea of ‘flash coloration’, where an otherwise camouflaged prey suddenly reveals a conspicuous body part when it flees a predator, only to hide it again before or as it comes to rest ",Cott 1940; Edmunds 2005,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Umeton, D.",Italy,"Read, J. C. A.","Rowe, C.",,,,,,,,,,,2017,Biology Letters,Journal,Unravelling the illusion of flicker fusion,reptiles,0,,no,0,0,0,,no,0,0,1,US,"Cott HB. 1940, Edmunds M. 2005 ",1,0,0,no,0,0,0,no,0,0,0,,no,0,0,yes," This idea is perhaps similar to the idea of ‘flash coloration’, where an otherwise camouflaged prey suddenly reveals a conspicuous body part when it flees a predator, only to hide it again before or as it comes to rest ","Cott HB. 1940, Edmunds M. 2005",b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
Unattributed,np,,,,,,,,,,,,,1991,The Phasmid Study Group,Periodical,Sipyloidea sipylus,invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,1,0,0,no,0,0,1,,no,1,0,yes,"Further information to that given in Newsletter 41 (pages 15-17) on ""Thailand red microwings"" includes flashing of the microwings as a defence mechanism",no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Urgiles, V. L.",Ecuador,"Posse, V.","Timbe, B. A.","Astudillo, P. X.","Sanchez-Nivicela, J. C.",,,,,,,,,2017,Zootaxa,Journal,A new terrestrial frog (Anura: Craugastoridae) from the montane cloud forests of the southeastern Ecuadorian Andes,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Vane-Wright, R. I.",UK,,,,,,,,,,,,,1976,Biotropica,Journal,A unified classification of mimetic resemblances,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Vences, M",Germany,"GLAW, F","BÖHME, W.",,,,,,,,,,,1999,Alytes,Journal,"A review of the genus Mantella (Anura, Ranidae, Mantellinae): taxonomy, distribution and conservation of malagasy poison frogs",amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Vidal-Garcia, M.",Australia,"O'Hanlon, J. C.","Svenson, G. J.","Umbers, K. D. L.",,,,,,,,,,2020,Proceedings of the Royal Society of London. Series B-Biological Sciences,Journal,The evolution of startle displays: a case study in praying mantises,invertebrates,0,,no,0,0,0,,no,0,0,1,US,"Bae S, Kim D, Sherratt TN, Caro T, Kang C. 2019, Edmunds M. 1972 , Loeffler-Henry K, Kang C, Yip Y, Caro T, Sherratt TN. 2018, Murali G. 2018, Edmunds M. 1974",1,0,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Vigle, G.O.",USA,"Coloma, L. A.","Santos, J. C.","Hernandez-Nieto, S.","Ortega-Andrade, H. M.","Paluh, D. J.","Read, M.",,,,,,,2020,Zootaxa,Journal,"A new species of Leucostethus (Anura: Dendrobatidae) from the Cordillera Mache-Chindul in northwestern Ecuador, with comments on similar Colostethus and Hyloxalus",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,1,no,0,1,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Wagan, M. S.",Pakistan,"Khatri, I.",,,,,,,,,,,,2021,Journal of Entomology and Zoology Studies,Journal,A review of the genus Chloebora Saussure (1884)(Oedipodinae: Acrididae: Orthoptera) From Pakistan,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,yes,"The species exhibit flash coloration in flight drawing attention to themselves by their brightly coloured hind wings (Red, Yellow or Pinkish red) and suddenly disappearing when settled. This assist in defeating predators but it may have been developed primarily as a recognition signal.",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Wagner, D. L.",USA,"Hoyt, A. C.",,,,,,,,,,,,2022,Caterpillars in the Middle: Tritrophic interactions in a changing world,Book Chapter,"On being a caterpillar: Structure, function, ecology, and behavior",invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Walker, C. F.",USA,"Test, F. H.",,,,,,,,,,,,1955,Occasional Papers of the Museum of Zoology,Journal,New Venezuelan frogs of the genus Eleutherodactylus,amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"White, E. G.",New Zealand,,,,,,,,,,,,,1994,Ecological research and monitoring of the protected grasshopper Brachaspis robustus in the Mackenzie Basin,Book,Introduction,invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,,no,0,1,no,no,no,no,no,no,no,yes,"Light yellowish patterns on the thorax (and occasionally orange) add to the cryptic colouring of a few individuals, and the species' flash-display colourings on the inner side of the hind-legs provide an intense combination of red and indigo-violet.",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Williams, C. R.",Australia,"Brodie, E. D.","Tyler, M. J.","Walker, S. J.",,,,,,,,,,2000,Journal of Herpetology,Journal,Antipredator mechanisms of Australian frogs,amphibians,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,yes,"Bright coloration in species of Litoria was revealed both in the antipredator posture, and in escape where the observer saw a ""flash"" of color in the groin and post-femoral region as the frog jumped away. Such ""flash"" coloration is thought to disorient predators that witness a sudden and short-lived flash of color followed by immobility","Dickerson, 1908",t,no,no,no,,,,,,,,,,,,,,,,,,,
"Williams, E. H.",USA,,,,,,,,,,,,,2005,The Nature Handbook: a guide to observing the great outdoors,Book,The Nature Handbook: a guide to observing the great outdoors,various,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,1,,no,1,0,yes,"Quickly spreading their wings for flight when disturbed by a bird, some moths and grasshoppers flash patches of bright colors on their hind wings that startle the hungry predator that had just been looking at a very plain-appearing food morsel. The surprising change in appearance can alarm or distract the predator, especially a young or inexperienced one, enough to give the prey a valuable split second to escape.","Sargent 1976, Schlenoff 1985, Alcock 1993, Smith and Smith 2001",b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Williams, S. T.",UK,,,,,,,,,,,,,2004,Masters Thesis chapter,Thesis,"An Investigation of Apparent Iris Metachrosis, and Comparative Morphology of the Eye of Agalychnis Tree Frogs (Anura: Hylidae: Phyllomedusinae)",amphibians,0,,no,0,0,0,,no,0,0,1,UK,no,1,0,0,no,0,0,0,no,0,0,1,,no,0,1,no,no,no,no,no,no,no,yes,"These so-called flash markings are normally vivid and contrast with the dorsal colouration. When the frog is threatened it leaps, suddenly temporarily exposing the flash markings to startle the predator. When the frog lands it assumes its resting posture, concealing the bright colouration and presenting only the possibly cryptically coloured dorsal surfaces ","Duellman and Trueb, 1994, Stebbins and Cohen, 1995",t,no,no,no,,,,,,,,,,,,,,,,,,,
"Wilsdon, C.",USA,,,,,,,,,,,,,2014,Animal Defences,Book,Animal Defences,various,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Wilson, L. D.",USA,"McCranie, J. R.","Cruz, G. A.",,,,,,,,,,,1994,Proceedings of the Biological Society of Washington,Journal,A new species of Plectrohyla (Anura: Hyidae) from a fremontane rainforest in northern Honduras,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,,no,0,0,no,no,no,no,no,no,no,yes,all flashmarks hidden when frog is at rest,no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Wirsing, A.",USA,"Heithaus, M.","Brown, J.","Kotler, B.","Schmitz, O.",,,,,,,,,2021,Ecology Letters,Journal,The context dependence of non‐consumptive predator effects,various,0,,no,0,0,0,,no,0,0,1,US,Murali 2018,1,0,0,no,0,0,0,no,0,0,1,,Murali 2018,1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Wolf, S.",South Africa,"Brettschneider, H.","Bateman, P. W.",,,,,,,,,,,2006,African Zoology,Journal,The predator defence system of an African king cricket (Orthoptera: Anostostomatidae): does it help to stink?,invertebrates,0,,no,0,0,0,,no,0,0,1,UK,Hatle & Salazar 2001; DeCock & Matthysen 2003,0,1,0,no,0,0,0,no,0,0,1,,no,1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Yang, H.",China,"Shi, C.","Engel, M. S.","Zhao, Z.","Ren, D.","Gao, T.",,,,,,,,2021,National Science Review,Journal,Early specializations for mimicry and defense in a Jurassic stick insect,invertebrates,0,,no,0,0,0,,no,0,0,1,US,"Henry GM. Stridulation in the leaf insect. Spolia Zeylan. 1922;
12: 217–9.",0,1,0,no,0,0,0,no,0,0,1,,no,1,0,no,no,no,no,no,no,no,yes,producing a startling visual display by suddenly raising the tegmina and flashing bright colors or patterns on the hindwings,no,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Yu, C.",China,"Chen, L.","Ning, S.","Ullah, S. ","Zhongqiu, L.",,,,,,,,,2022,Current Zoology,Journal,Do bovids evolve hindquarter markings for anti-predation?,mammals,1,US,no,1,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,,no,1,1,yes,"In flash behavior, prey demonstrate conspicuous cue while fleeing; the predators follow them; however, the prey hide their markings and the predators assume that the prey has vanished",no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Zaspel, J. M.",USA,"Zahiri, R.","Hoy, M. A.","Janzen, D.","Weller, S. J.","Wahlberg, N.",,,,,,,,2012,Molecular Phylogenetics and Evolution,Journal,A molecular phylogenetic analysis of the vampire moths and their fruit-piercing relatives (Lepidoptera: Erebidae: Calpinae),invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
